t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
3590.0,1.000000,0,525.3470,45.00,480.3470
3600.0,1.000000,0,525.3475,45.00,480.3475
3610.0,1.000000,0,525.3480,45.00,480.3480
3620.0,1.000000,0,525.3485,45.00,480.3485
3630.0,1.000000,0,525.3490,45.00,480.3490
3640.0,1.000000,0,525.3495,45.00,480.3495
3650.0,1.000000,0,525.3500,45.00,480.3500
3660.0,1.000000,0,525.3505,45.00,480.3505
3670.0,1.000000,0,525.3510,45.00,480.3510
3680.0,1.000000,0,525.3515,45.00,480.3515
3690.0,1.000000,0,525.3520,45.00,480.3520
3700.0,1.000000,0,525.3525,45.00,480.3525
3710.0,1.000000,0,525.3530,45.00,480.3530
3720.0,1.000000,0,525.3535,45.00,480.3535
3730.0,1.000000,0,525.3540,45.00,480.3540
3740.0,1.000000,0,525.3544,45.00,480.3544
3750.0,1.000000,0,525.3549,45.00,480.3549
3760.0,1.000000,0,525.3554,45.00,480.3554
3770.0,1.000000,0,525.3559,45.00,480.3559
3780.0,1.000000,0,525.3564,45.00,480.3564
3790.0,1.000000,0,525.3569,45.00,480.3569
3800.0,1.000000,0,525.3574,45.00,480.3574
3810.0,1.000000,0,525.3579,45.00,480.3579
3820.0,1.000000,0,525.3584,45.00,480.3584
3830.0,1.000000,0,525.3589,45.00,480.3589
3840.0,1.000000,0,525.3594,45.00,480.3594
3850.0,1.000000,0,525.3599,45.00,480.3599
3860.0,1.000000,0,525.3604,45.00,480.3604
3870.0,1.000000,0,525.3609,45.00,480.3609
3880.0,1.000000,0,525.3614,45.00,480.3614
3890.0,1.000000,0,525.3619,45.00,480.3619
3900.0,1.000000,0,525.3623,45.00,480.3623
3910.0,1.000000,0,525.3628,45.00,480.3628
3920.0,1.000000,0,525.3633,45.00,480.3633
3930.0,1.000000,0,525.3638,45.00,480.3638
3940.0,1.000000,0,525.3643,45.00,480.3643
3950.0,1.000000,0,525.3648,45.00,480.3648
3960.0,1.000000,0,525.3653,45.00,480.3653
3970.0,1.000000,0,525.3658,45.00,480.3658
3980.0,1.000000,0,525.3663,45.00,480.3663
3990.0,1.000000,0,525.3668,45.00,480.3668
4000.0,1.000000,0,525.3673,45.00,480.3673
4010.0,1.000000,0,525.3678,45.00,480.3678
4020.0,1.000000,0,525.3683,45.00,480.3683
4030.0,1.000000,0,525.3688,45.00,480.3688
4040.0,1.000000,0,525.3693,45.00,480.3693
4050.0,1.000000,0,525.3698,45.00,480.3698
4060.0,1.000000,0,525.3703,45.00,480.3703
4070.0,1.000000,0,525.3708,45.00,480.3708
4080.0,1.000000,0,525.3712,45.00,480.3712
4090.0,1.000000,0,525.3717,45.00,480.3717
4100.0,1.000000,0,525.3722,45.00,480.3722
4110.0,1.000000,0,525.3727,45.00,480.3727
4120.0,1.000000,0,525.3732,45.00,480.3732
4130.0,1.000000,0,525.3737,45.00,480.3737
4140.0,1.000000,0,525.3742,45.00,480.3742
4150.0,1.000000,0,525.3747,45.00,480.3747
4160.0,1.000000,0,525.3752,45.00,480.3752
4170.0,1.000000,0,525.3757,45.00,480.3757
4180.0,1.000000,0,525.3762,45.00,480.3762
4190.0,1.000000,0,525.3767,45.00,480.3767
4200.0,1.000000,0,525.3772,45.00,480.3772
4210.0,1.000000,0,525.3777,45.00,480.3777
4220.0,1.000000,0,525.3782,45.00,480.3782
4230.0,1.000000,0,525.3787,45.00,480.3787
4240.0,1.000000,0,525.3792,45.00,480.3792
4250.0,1.000000,0,525.3797,45.00,480.3797
4260.0,1.000000,0,525.3802,45.00,480.3802
4270.0,1.000000,0,525.3806,45.00,480.3806
4280.0,1.000000,0,525.3811,45.00,480.3811
4290.0,1.000000,0,525.3816,45.00,480.3816
4300.0,1.000000,0,525.3821,45.00,480.3821
4310.0,1.000000,0,525.3826,45.00,480.3826
4320.0,1.000000,0,525.3831,45.00,480.3831
4330.0,1.000000,0,525.3836,45.00,480.3836
4340.0,1.000000,0,525.3841,45.00,480.3841
4350.0,1.000000,0,525.3846,45.00,480.3846
4360.0,1.000000,0,525.3851,45.00,480.3851
4370.0,1.000000,0,525.3856,45.00,480.3856
4380.0,1.000000,0,525.3861,45.00,480.3861
4390.0,1.000000,0,525.3866,45.00,480.3866
4400.0,1.000000,0,525.3871,45.00,480.3871
4410.0,1.000000,0,525.3876,45.00,480.3876
