t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
3940.0,1.000000,0,571.5024,45.00,526.5024
3950.0,1.000000,0,571.5023,45.00,526.5023
3960.0,1.000000,0,571.5023,45.00,526.5023
3970.0,1.000000,0,571.5022,45.00,526.5022
3980.0,1.000000,0,571.5022,45.00,526.5022
3990.0,1.000000,0,571.5022,45.00,526.5022
4000.0,1.000000,0,571.5021,45.00,526.5021
4010.0,1.000000,0,571.5021,45.00,526.5021
4020.0,1.000000,0,571.5020,45.00,526.5020
4030.0,1.000000,0,571.5020,45.00,526.5020
4040.0,1.000000,0,571.5019,45.00,526.5019
4050.0,1.000000,0,571.5019,45.00,526.5019
4060.0,1.000000,0,571.5018,45.00,526.5018
4070.0,1.000000,0,571.5018,45.00,526.5018
4080.0,1.000000,0,571.5017,45.00,526.5017
4090.0,1.000000,0,571.5017,45.00,526.5017
4100.0,1.000000,0,571.5017,45.00,526.5017
4110.0,1.000000,0,571.5016,45.00,526.5016
4120.0,1.000000,0,571.5016,45.00,526.5016
4130.0,1.000000,0,571.5015,45.00,526.5015
4140.0,1.000000,0,571.5015,45.00,526.5015
4150.0,1.000000,0,571.5014,45.00,526.5014
4160.0,1.000000,0,571.5014,45.00,526.5014
4170.0,1.000000,0,571.5013,45.00,526.5013
4180.0,1.000000,0,571.5013,45.00,526.5013
4190.0,1.000000,0,571.5012,45.00,526.5012
4200.0,1.000000,0,571.5012,45.00,526.5012
4210.0,1.000000,0,571.5012,45.00,526.5012
4220.0,1.000000,0,571.5011,45.00,526.5011
4230.0,1.000000,0,571.5011,45.00,526.5011
4240.0,1.000000,0,571.5010,45.00,526.5010
4250.0,1.000000,0,571.5010,45.00,526.5010
4260.0,1.000000,0,571.5009,45.00,526.5009
4270.0,1.000000,0,571.5009,45.00,526.5009
4280.0,1.000000,0,571.5008,45.00,526.5008
4290.0,1.000000,0,571.5008,45.00,526.5008
4300.0,1.000000,0,571.5007,45.00,526.5007
4310.0,1.000000,0,571.5007,45.00,526.5007
4320.0,1.000000,0,571.5007,45.00,526.5007
4330.0,1.000000,0,571.5006,45.00,526.5006
4340.0,1.000000,0,571.5006,45.00,526.5006
4350.0,1.000000,0,571.5005,45.00,526.5005
4360.0,1.000000,0,571.5005,45.00,526.5005
4370.0,1.000000,0,571.5004,45.00,526.5004
4380.0,1.000000,0,571.5004,45.00,526.5004
4390.0,1.000000,0,571.5003,45.00,526.5003
4400.0,1.000000,0,571.5003,45.00,526.5003
4410.0,1.000000,0,571.5002,45.00,526.5002
4420.0,1.000000,0,571.5002,45.00,526.5002
4430.0,1.000000,0,571.5002,45.00,526.5002
4440.0,1.000000,0,571.5001,45.00,526.5001
4450.0,1.000000,0,571.5001,45.00,526.5001
4460.0,1.000000,0,571.5000,45.00,526.5000
4470.0,1.000000,0,571.5000,45.00,526.5000
4480.0,1.000000,0,571.4999,45.00,526.4999
4490.0,1.000000,0,571.4999,45.00,526.4999
4500.0,1.000000,0,571.4998,45.00,526.4998
4510.0,1.000000,0,571.4998,45.00,526.4998
4520.0,1.000000,0,571.4997,45.00,526.4997
4530.0,1.000000,0,571.4997,45.00,526.4997
4540.0,1.000000,0,571.4997,45.00,526.4997
4550.0,1.000000,0,571.4996,45.00,526.4996
4560.0,1.000000,0,571.4996,45.00,526.4996
4570.0,1.000000,0,571.4995,45.00,526.4995
4580.0,1.000000,0,571.4995,45.00,526.4995
4590.0,1.000000,0,571.4994,45.00,526.4994
4600.0,1.000000,0,571.4994,45.00,526.4994
4610.0,1.000000,0,571.4993,45.00,526.4993
4620.0,1.000000,0,571.4993,45.00,526.4993
4630.0,1.000000,0,571.4992,45.00,526.4992
4640.0,1.000000,0,571.4992,45.00,526.4992
4650.0,1.000000,0,571.4992,45.00,526.4992
4660.0,1.000000,0,571.4991,45.00,526.4991
4670.0,1.000000,0,571.4991,45.00,526.4991
4680.0,1.000000,0,571.4990,45.00,526.4990
4690.0,1.000000,0,571.4990,45.00,526.4990
4700.0,1.000000,0,571.4989,45.00,526.4989
4710.0,1.000000,0,571.4989,45.00,526.4989
4720.0,1.000000,0,571.4988,45.00,526.4988
4730.0,1.000000,0,571.4988,45.00,526.4988
